2026-08-10T10:48:52.016619 - Poll 24: Status=in-progress, TranscriptLen=0
2026-08-10T10:48:54.584768 - Poll 25: Status=in-progress, TranscriptLen=0
2026-08-10T10:48:57.346287 - Poll 26: Status=in-progress, TranscriptLen=0
2026-08-10T10:49:00.024079 - Poll 27: Status=in-progress, TranscriptLen=0
2026-08-10T10:49:02.944975 - Poll 28: Status=in-progress, TranscriptLen=0
2026-08-10T10:49:05.484980 - Poll 29: Status=in-progress, TranscriptLen=0
2026-08-10T10:49:08.108677 - Poll 30: Status=in-progress, TranscriptLen=0
2026-08-10T10:49:10.673185 - Poll 31: Status=in-progress, TranscriptLen=1750
2026-08-10T10:49:13.218576 - Poll 32: Status=call-disconnected, TranscriptLen=1750
2026-08-10T10:49:15.971319 - Poll 33: Status=call-disconnected, TranscriptLen=1750
2026-08-10T10:49:18.427296 - Poll 34: Status=call-disconnected, TranscriptLen=1750
2026-08-10T10:49:20.941898 - Poll 35: Status=call-disconnected, TranscriptLen=1750
2026-08-10T10:49:23.741044 - Poll 36: Status=call-disconnected, TranscriptLen=1750
2026-08-10T10:49:26.298248 - Poll 37: Status=call-disconnected, TranscriptLen=1750
2026-08-10T10:49:28.983902 - Poll 38: Status=call-disconnected, TranscriptLen=1750
2026-08-10T10:49:31.684521 - Poll 39: Status=completed, TranscriptLen=1750
2026-08-20T15:15:42.639388 - Starting polling fallback for Execution 4ebf3164-6f59-4a39-bf30-73127c8c2f35 (Lead: call_1787238941596)
2026-08-20T15:15:45.051100 - Poll 0: Status=ringing, TranscriptLen=0
2026-08-20T15:15:47.584766 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-20T15:15:50.043219 - Poll 2: Status=ringing, TranscriptLen=0
2026-08-20T15:15:52.531269 - Poll 3: Status=ringing, TranscriptLen=0
2026-08-20T15:15:54.955464 - Poll 4: Status=ringing, TranscriptLen=0
2026-08-20T15:15:57.432735 - Poll 5: Status=ringing, TranscriptLen=0
2026-08-20T15:15:59.849870 - Poll 6: Status=ringing, TranscriptLen=0
2026-08-20T15:16:02.333335 - Poll 7: Status=ringing, TranscriptLen=0
2026-08-20T15:16:04.770592 - Poll 8: Status=ringing, TranscriptLen=0
2026-08-20T15:16:07.558763 - Poll 9: Status=ringing, TranscriptLen=0
2026-08-20T15:16:09.965165 - Poll 10: Status=busy, TranscriptLen=0
2026-08-21T07:50:35.231494 - Starting polling fallback for Execution 0fdc2344-e632-47ff-8af1-b8e73123a559 (Lead: call_1787298634200)
2026-08-21T07:50:37.624813 - Poll 0: Status=initiated, TranscriptLen=0
2026-08-21T07:50:40.027488 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-21T07:50:42.518868 - Poll 2: Status=ringing, TranscriptLen=0
2026-08-21T07:50:44.980506 - Poll 3: Status=ringing, TranscriptLen=0
2026-08-21T07:50:47.461464 - Poll 4: Status=ringing, TranscriptLen=0
2026-08-21T07:50:49.879890 - Poll 5: Status=ringing, TranscriptLen=0
2026-08-21T07:51:14.997938 - Poll 6: Status=busy, TranscriptLen=0
2026-08-21T07:54:43.241579 - Starting polling fallback for Execution beaf4c8e-22b1-441c-9191-29007330cd5d (Lead: call_1787298882245)
2026-08-21T07:54:45.606214 - Poll 0: Status=ringing, TranscriptLen=0
2026-08-21T07:54:48.020050 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-21T07:54:50.491470 - Poll 2: Status=busy, TranscriptLen=0
2026-08-21T08:29:28.975346 - Starting polling fallback for Execution 534a2d2f-1a21-4de2-a2d5-7da7cdb92444 (Lead: bulk_1787300950103_0)
2026-08-21T08:29:29.887830 - Starting polling fallback for Execution eebf8693-86c2-409d-a41f-fbcb3b678a7e (Lead: bulk_1787300969483_1)
2026-08-21T08:29:30.781671 - Starting polling fallback for Execution cce6f99b-de38-4d89-af12-750d1d66b673 (Lead: bulk_1787300970384_2)
2026-08-21T08:29:31.347779 - Poll 0: Status=initiated, TranscriptLen=0
2026-08-21T08:29:31.681753 - Starting polling fallback for Execution a172ac85-d4ae-4574-8c2d-9370be771256 (Lead: bulk_1787300971292_3)
2026-08-21T08:29:32.227752 - Poll 0: Status=initiated, TranscriptLen=0
2026-08-21T08:29:32.632493 - Starting polling fallback for Execution 402f03a1-f648-4f69-b00f-bbd9399f1866 (Lead: bulk_1787300972206_4)
2026-08-21T08:29:33.190630 - Poll 0: Status=ringing, TranscriptLen=0
2026-08-21T08:29:33.561234 - Starting polling fallback for Execution d29d475b-1635-42d8-a067-e5dd10a16bce (Lead: bulk_1787300973142_5)
2026-08-21T08:29:34.027571 - Poll 0: Status=initiated, TranscriptLen=0
2026-08-21T08:29:34.187437 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-21T08:29:34.433114 - Starting polling fallback for Execution 00314935-253d-47fb-b64e-0581fa1a0a81 (Lead: bulk_1787300974057_6)
2026-08-21T08:29:34.668429 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-21T08:29:34.994293 - Poll 0: Status=initiated, TranscriptLen=0
2026-08-21T08:29:35.318401 - Starting polling fallback for Execution fb1b4574-2398-4828-a198-734a05d0fd5d (Lead: bulk_1787300974922_7)
2026-08-21T08:29:35.619734 - Poll 1: Status=ringing, TranscriptLen=0
